'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'3705_at'	'ITPK1'	-4	4	-6	8	-2	15	0.0341864638
'3097_at'	'HIVEP2'	6	16	7	7	-5	13	0.0342588523
'8858_at'	'PROZ'	5	2	12	10	4	0	0.0343472127
'308_at'	'ANXA5'	0	-3	-4	-2	-2	-1	0.0345156403
'10024_at'	'TROAP'	17	3	-5	-2	1	10	0.0345281946
'8999_at'	'CDKL2'	15	7	-5	14	9	5	0.0346732002
'9975_at'	'NR1D2'	3	4	0	4	5	4	0.0348176304
'150094_at'	'SIK1'	0	5	0	0	1	0	0.0349591651
'283232_at'	'TMEM80'	16	14	-5	-4	12	13	0.0351139441
'7544_at'	'ZFY'	-2	-2	2	4	3	17	0.0351183328
'51102_at'	'MECR'	16	-5	16	14	9	10	0.035146984
'1852_at'	'DUSP9'	5	6	-5	8	-1	-1	0.035291855
'55195_at'	'C14orf105'	8	7	6	9	4	13	0.0353644581
'7538_at'	'ZFP36'	-1	3	-4	1	0	0	0.0354959143
'51585_at'	'PCF11'	6	2	5	1	10	-2	0.0355391428
'10009_at'	'ZBTB33'	0	-2	-5	1	8	3	0.0358834051
'7157_at'	'TP53'	3	-6	-2	0	4	3	0.035961285
'4283_at'	'CXCL9'	15	10	8	16	6	9	0.0359660142
'63974_at'	'NEUROD6'	15	12	13	11	-4	16	0.0360655629
'3587_at'	'IL10RA'	-5	6	3	6	-2	2	0.0361503714
'1235_at'	'CCR6'	5	1	-2	-1	-4	4	0.0363003885
'8727_at'	'CTNNAL1'	9	10	7	5	8	3	0.0363920195
'80022_at'	'MYO15B'	15	17	11	16	11	15	0.0364860847
'63970_at'	'TP53AIP1'	8	3	6	7	9	9	0.0364905455
'55893_at'	'ZNF395'	3	4	1	3	1	0	0.0365407669
'5900_at'	'RALGDS'	5	2	-1	2	1	2	0.0367235504
'5432_at'	'POLR2C'	-6	6	-1	15	15	-5	0.0369215415
'8241_at'	'RBM10'	15	-6	9	7	-4	16	0.0369262248
'4923_at'	'NTSR1'	8	8	2	13	13	16	0.0370818873
'6664_at'	'SOX11'	5	2	2	0	9	6	0.0373456208
'1602_at'	'DACH1'	4	0	12	1	8	5	0.037395755
'6833_at'	'ABCC8'	9	9	12	9	12	10	0.037533571
'4725_at'	'NDUFS5'	-6	16	16	17	14	17	0.0377860632
